time,high,low,open,volumefrom,volumeto,close
2018-04-07,9438.07,8490.38,8583.44,333.48,2911565.64,8877.44
2018-04-08,9708.24,8821.56,8877.44,417.25,3724525.43,9002.26
2018-04-09,9800.48,8575.27,9002.26,530.07,4514528.13,8704.11
2018-04-10,9337.41,8444.33,8700.03,414.16,3453157.58,8744.97
2018-04-11,9487.64,8626.25,8752.88,371.43,3177133.68,8825.71
2018-04-12,9999.35,8697.24,8825.71,1070.24,9736959.3,9982.2
2018-04-13,10339.34,9767.51,9982.2,828.68,8275031.95,9930.25
2018-04-14,10393.7,9895.05,9930.25,174.76,1767147.85,10195.7
2018-04-15,10505.49,10022.19,10174.5,419.88,4247667.16,10468.3
2018-04-16,11034.43,9950.75,10468.3,489.03,4703689.72,10295.05
2018-04-17,10622.8,9962.51,10290.39,473.69,4576936.98,10105.23
2018-04-18,10992.08,10016.23,10105.23,456.4,4265047.29,10307.72
2018-04-19,10562.44,10147.39,10307.72,495.39,4763154.12,10278.17
2018-04-20,11331.36,10191.83,10381.75,477.84,5089295.94,11163.26
